anchor,positive,hard_negative
Unocef 50mg Dry,Refix 200mg,Platicef O 200mg/200mg
Alencef LZ 200mg/600mg,Zifi Turbo,Cefo LX 200mg/500mg
Mobizox,Dicloflam MR,Mobiza 135mg/5mg
Eternex-T,Tenlizem 20mg,Eterna 4mg
Esmol 650mg,Orvipar 250mg,Flano
Oocef 1000mg,Trusten 1000mg,Oocef SB 1000mg/500mg
Xylid M DS,Dynamet,Tapcynta Plus 50mg/325mg
Melapik Ever New,Triluma RD,Melapex
Cefutri 250mg,Adocef 250mg,Cefutop 250
Losawun H 50mg/12.5mg,Arblos-H 25mg/12.5mg,Nevtel H 40mg/12.5mg
Sefxim 1000mg,Ceficorn 500,Sefxim
Vixone S 1000mg/500mg,Seezone SB 375mg,Vixone Z 1000mg/125mg
Icobit MR 200mg,Nusaid 100mg,Icobit P 100mg/325mg
Herquelen 1000mg,Kvcef 1000mg,Elores 1.5gm
Rabeva-IT,Kavrab IT 20mg/150mg,Rabevera DSR 30 mg/20 mg
Laycef LZ 200mg/600mg,Myzolix LZ 200mg/600mg,Laycef 200mg
Deltanac-SP,Remaclo P 100mg/325mg,Deltanac T 100mg/4mg
Moxyplus 500mg,Jiyomox LB 250mg,Moxy Plus 500mg/125mg
Nacef S 250mg/125mg,Ceftizer S 500mg/250mg,Nacef 250mg
DavaIndia Nimesulide 100mg,Remulide,Nimzen-Cold & Flu
Mefioer-P Forte,Maflen P,Mefi O 200mg/200mg
Cromol 250mg,Albimol IV 1000mg,Cromol Forte
Vucef 100,Hhcefi 100 Dry,Hadcif AZ 200mg/250mg
Recef 1gm,Supraxone 1000mg,Recef 100mg
Ofyzone-S 375,Cefscope S 1000 mg/500 mg,Ofyzone 500
Acetomef,Cyclospas,Acetop P 100mg/500mg
Nefo 200 SR,Flextab 200mg,Acedase AP
Asocet 100mg/325mg,Pafev-MR,Asocef 200mg
Benforce-M,Ycyst M,Benfotor
Cetolide AC 100mg/500mg,A Niclo SP,Cetolide Plus 100mg/15mg
Endosis,Endofree,Endospas 20mg/500mg
K Lac,Eylac,Ketotram 10mg/25mg
Actamase 1000 mg/125 mg,Sefpine-TZ 2250mg,Unitrax TZ 1000 mg/125 mg
Zestrain Plus 100mg/325mg,Val-P,Epitag Plus 50mg/325mg
Cefdion SB 1000mg/500mg,Vcef,Cefdix O 200mg/200mg
Nimeson 100mg,Nimkav 100mg,Nimase 100mg/10mg
Zeptin 20mg,Teneptin,Zeptin 200mg
Cefever 1000mg,Welcef 250mg,Cefever TZ 1000mg/125mg
Surginac Plus,Actin P 100mg/325mg,Surginac Forte
Pamagin Gold A,Acycov P 100mg/325mg,Femdol P
Femicef S 250mg/125mg,Ceftraphy-S,Femic-P
Dicpar S 50mg/10mg,Seridase 50mg/10mg,Dicpar-P
Zeox 50mg Dry,Cefidol Dry,Zeox 500mg
Minti 100mg,Auxime 200mg,Mintide G2 2 mg/500 mg
Hansimol M,Zymef P,Hansimox CV 500mg/125mg
Aero D,Flaxinac 100mg/500mg,Aerodyn-T
Kiaxone 250mg,C Fax 1.5gm,Kiaxone S 250mg/125mg
Cefectra S 500mg/250mg,Morcef SB 250mg/125mg,Cefective 50mg
Sucfate O,Axid O,Sucfate
Alencef LZ 200mg/600mg,Linox Total,Alencuf DX
Glipax 20mg,Tytin,Tendia-P
Vivocef 200mg,Clomid 100mg,Vivocef 250mg
Cmexime 100mg,Cefibio 200mg,Athifast 200mg/250mg
Coldpic-DS,Flucold P Oral,Cold Plus
Rabenix IT 20mg/150mg,Acera IT 20 mg/150 mg,Monpan-IT 40mg/150mg
Welfix 100 DT,Alcef O 200mg,Welfix-O
Onest 2mg,Abivom 2mg,Sanron 4mg/150mg
Alser D 75mg/15mg,Risty D 50mg/10mg,Alser N 100mg/10mg
Mefolin P,Fevfast DS,Mefoled Spas 10mg/250mg
Citafine 200mg,Gemcitapar 200mg,Citaford S 10
Acedaz P 100mg/325mg,Odyflex,Acedaz-SR
Aquamide 20 mg/50 mg,Lasidac 20mg/25mg,Aquamet 50mcg
Klacee 100mg,Sonaflam 200mg,Klacee SR 100mg/15mg
Acortuss-P,Cufmol Plus,Acort 40mg
Seradise D 50mg/10mg,Kosedic-S,Seradol 10mg
Nimotas P AF,Dacfast CT 100mg/325mg,Nimotuf P 100mg/325mg
Gaice-SR-Plus,Masstinac P 100mg/325mg,Parasafe 125mg/12.5mg
Phecold,Zitocold,Phecobal 1500mcg
Tassitron 500mg,Trosef 500mg,Cefmag S 250mg/125mg
Vetrax 1.5gm,Traxto 250 mg/125 mg,Vetrax 500mg
Zunac 100mg,Catrix 200mg,Bextrin Total
Optilac,Fortral KT,Optilube
AC-Mol,Chilmic 250mg,Acmol 100mg/500mg
Mucifi 400mg,Migfix 100 DT,Muciflo
Nimek 50mg,Nilup 50mg,Nimek Para 100mg/325mg
Jidox 100mg,Ultifix 50mg,Jidox-C
Gesol Dry Syrup Pineapple,Unocef,Gesol 200
Rastik-IT,Rubgy IT 20mg/150mg,Rastik-L
Kinocin 320mg,Graptor 320mg,Kinocin 1mg
Tocef 1gm,Morcef 1000mg,Tocef Oral
Celrim TZ 1000 mg/125 mg,Dxpime TZ 250mg/31.25mg,Celrim 1gm
Inoflam MR,Diclonate Plus,Inoflox OZ
Nugesic Kid 50mg,Nimsid Ovel 100mg,Nugest 200mg
Abrox-D,Pulmowin DM,Abrox M
Aci 200mg,Mitigate 200mg,Acewok SD 100mg/15mg
Emgraf 1mg,Olmis Forte,Emgrast 300mcg
Voglimep 0.2mg,Voglitab 0.2,Voglidase-M Forte
Biotum 2000mg,Quix 1000mg,Biotus-CS
Aixone 500mg,Cefochek 2000mg,Elores 1.5gm
Cefifix 100mg Dry,Fixxi Dry,Cefifam LB 200mg
Tufoxim 200mg,Tanfix 200mg,Tufoxim O 200mg/200mg
Cekotek P,Shibo-Nac-SP,Cekotek 200mg
Netmol 100mg,Nimgreen 100mg,Coldfiz
Acecloud,Acepanac-SP,Divi MP Bolus
Otonac 200mg,Teep 200mg,Otonac-P 100mg/500mg
Dicpure-MR,Ligesic-MR,Dicpure-SP
Formic O 50mg Dry,Tefix 50mg Dry,Forminal 1000mg
Acefinac 100mg,Fenfac 100mg,Bextrin Total
Inodol Forte 250mg,Finamac 1000mg,Inodol P 50mg/325mg
Orlide,Wylid 100mg,Atgesic 100mg/325mg
Instafen-DS,Nimek Para Plus,Instaglip 50mg
Lozee,Eumosone,Butesone-M
Myset,Vomitoff 4mg,Myset Plus
Suncral O,Sucraton O,Suncros Soft 2%
Cefitrust 50 Dry,Migfix 50mg Dry,Biotax DX 200mg/500mg
Casflox-TZ 200mg/600mg,Oflomac TZ 200 mg/600 mg,Casflu 150mg
Unixone 1000mg,Cezof 500mg,Unixone Plus 1000mg/500mg
Cefixel 50mg,Munixim 200mg,Cefixel 200 LB
Vecid-O Oral Suspension Sugar Free,Suncral O,Vecid-MPS Oral Suspension Sugar Free
Kogesic Oral,CT Cold Plus,Kogesic Zxt
Healdase 50mg/10mg,Seren D 50mg/10mg,Heal DX 250mg/250mg
Numol A,Movofen DS,Numol
Telraas 40mg,Teglipt 20mg,Zita-D
Aceplas P 100mg/500mg,X-Nac 100mg/500mg,Kicpain XL
Vanclar,Dencocin 500mg,Vanclob
Cefamp 1000mg,Ceftion 250mg,Cefamax
Zednac 200mg,Acewel 100mg,Zednac 75mg
Clobikem gm,Lobect GM,Clobidex Dermal
Voglip 0.2mg,Ecovog 0.2mg,Eurepa-V 0.5/0.3
Alencef 1000mg,Bacocef 1000mg,Alencef 1000mg/500mg
Dizimust 2mg,Emcef,Dizimarc 16mg
Cipaxime 100mg,Valuecef 50mg Dry,Cipaxcin 500mg
Nimucet MF,Osef-MF,Nimucil 100mg
Nilcobose 0.2mg,Vogic 0.3mg,Voglinorm-R 1
Bioxime 100mg,Cifinil 200,Bioxime OX 200mg/200mg
Mofecon 750,Acopheno,Mofecon-S 360
RT Xone 1000mg,Mcef 250mg,Axitrix V 1000mg/500mg
Hydronol 25,Xenia 25mg,Hydroids
Aerodil Cold,Broxine P,Aero D 50mg/500mg
Dicsol SP 50mg/10mg,Delfidase-S,Dicsobon-SP
Eltamol 650mg,Tyfimol 500mg,Flupiz-P 100mg/325mg
Elfate O,Regel-SO,Elfate-LM Rectal
Cefly 200mg,Revcef-DS Dry,Ceflynn 1gm
Cefmost 200mg,Crinux 100mg,Cefmol-TZ 500mg/62.5mg
Axonac P 100mg/500mg,Acelro-MR,Axonate 60mg/480mg
Dolo SP 500mg,Molfab 650mg,Dolosec
Levcef-DS Dry,Nivocef-DS Dry,Confector
Amdic 50mg/10mg,Sioflox OZ 50mg/10mg,Amdiclox
Komdol-P Oral Suspension Strawberry,Fortran AP,Flano
Mednamic Pds,Meferest-P,Mednafex 120mg
Nexime 50mg Dry,Devicefi 200,Nexim 100mg
Metoheal R 50mg/5mg,Seloram 50 mg/5 mg,Metohart 25mg
Acecdoz 200mg,Acent 200mg,Acecdoz-R
Vogliwin 0.3mg,Vokem 0.3mg,Invog M 500 mg/0.2 mg
Adpara A 100mg/500mg,Nacsafe P,Adpar 10 mg/500 mg
Moli DS 250mg/5ml,Feveo 100mg Oral,Molid L 5mg/10mg
Flupra 500mg,Avmol 650,Flupride 100mg
Fecef 200,Safexim 200mg,Fecef S 1000mg/500mg
Left DSR,SWIFTIN D TABLET 10 MG/30 MG,Sur-D
Ifycemol P 250mg,Hitem 300mg,Ifycerol D3 Shots
Ricxone 500mg,Konet 1000mg,Ricxone S 250mg/125mg
Fixcet 200mg,Ximrite 50,Fixcef-CV 200mg/125mg
Sacrowel Oral Suspension Anise Sugar Free,SM-Cool O,Elcid O 20 mg/100 mg
Contus 650,Excold Dry,EXPERGESIC 500MG/15MG
Tranchlor 25mg,CPZ 50,Trankvil Plus 100mg/2mg
My-HP,Pantocid HP Combipack,Sivroxol
Nixkuf DX,Emcoril DX,Nixkuf D Syrup Sugar Free
Xypar Rapid 500mg,P 100,Talmin D 250 mg/350 mg
Diecold Plus,Acdac-TC,Diecold
Yuvicef 500mg,Grosafe 1gm,Yuvicef 3gm
Anilide,Mini,Anilide MR 100mg/250mg
Clofen 100mg,Macito 200mg,Clofen 50mg
Fortral A,Albiflam-MR,Fortrim 100mg/20mg
Equipam 2mg,Dekopam 5mg,Equipod CV 200mg/125mg
Acunet-SR,Ossedol 100mg,Acunet-S
Nexceclo-SP,Anofin P 100mg/325mg,Zerodol-PG 200/75
Arden A 100 mg/500 mg,Canpara 100mg/325mg,Arden 250mg/5ml
Vomistrip 4 Orally Disintegrating Strip,Vomicut,Trisetron
Rekron,Ondax 4mg,Drapan-O
Infoxon S 1000mg/500mg,Trionix SB 250mg/125mg,Aldecef S 200 mg/150 mg
Xiaten 20mg,Tgp 20mg,Xiaten M 1000mg/20mg
Fixbase-S 1.5gm,Alitax-SM 1500,Fixbase T
Akizone-S,Amsef S 1000mg/500mg,Akizone 1000mg
Kosfix 50mg,Bactofix 50mg Dry,Ceflora AM
Cefon 500mg,Edizone 1000mg,Cefonus 200
Fruselac,Spirotic 20mg/50mg,Frusemene 40 mg/50 mg
Quix 250mg,Vidacef 1000mg,Quix 100mg
Vomipar 4mg,Ondaq 4mg,Vomipar 10mg
Britvog 0.2mg,Voglifin 0.2mg,Britvog M 500mg/0.3mg
Mexacof PD,Kofnok D,Nilcold-DM
Tondon 2mg,Segidan 2mg Oral,Ton-Dot 80mg/250mg
Mefioer-P Forte,Mefcott-P,Japiref Plus 100mg/325mg
Lyzin 25mg,Lametec 200 OD,Lyzino 500mg
Defix 50mg Dry,Alsef O 100mg,Defix-OX
Trilide 100mg,Nimgreen 50mg,Triligo Forte 25mg
Aptonac-SP,Clobee-SP,Aptonac-PT 4
Dolbrex-SP,Felodol,Dolbro 60mg
Wikiceft S 1000mg/500mg,Themixon S 1000mg/500mg,Wikicef Dry
Zefway 100,Biofix 200mg,Zefway 100mg
Mefpalm-DS,Femic-P,Mefpas 20mg/250mg
Lupipara 650mg,Merimol 250mg/5ml,Lupiplax
Sepre D 50mg/10mg,Aslonet S 50mg/15mg,Sepred 80mg
Ranfix 100mg,Cefistar Dry,Ranfix 200 LB
Ethyricef S 250mg/125mg,Teerax-S,Ethyricef 250mg
Renoceptin 500mg,Myphen 500,Renocell
E Cef 200mg,Sundoxim Fix 100mg,E Cef 1000mg
Bendiflam P,Actpar MR,Bendiflox 200mg
Omisafe Plus 250 mg/125 mg,Ceftspn-S 1.5,Reopin-SB 1gm/0.5gm
Citic M 500mg/750mcg,New Nervijen-CT,Citicon 500mg
Zitriax 500mg,Ncef 1000mg,Elores 1.5gm
Easynac P 100mg/325mg,Acilex P,Tromag 37.5mg/325mg
Tenebliz 20mg,Tenelin 20mg,Tenebest M 500mg/20mg
Alzocin D 10mg/0.5mg,Alfugud-D,Alzocum 1.5mg
Rabemerz-IT 20mg/75mg,R-It,Rabemed 10mg
Okafexime,Efine 50mg,Okafexime-O
Aceclodus P 100 mg/500 mg,Caregesic-P,Miximox 250 mg/NA
Triz LB 500mg,Abozith 500mg,Triz LM Kid 2.5 mg/4 mg
Acufen XP,Homofen P,Acufenac S 50mg/10mg
Fusidaz B,Fusigen-DP,Fusiderm
Zozopolo-H 50mg/12.5mg,Etotan-H 25mg/12.5mg,Zozopolo-A 50mg/5mg
Ethmin 1gm,Cefosal 1000,Ethmin-S 1.5
Maxx Cold and Flu,Zykuf P,Maxxcet 10mg
Serip Plus,Vudic-S,Serip Forte 10mg
DV Cifi 100mg,Ceflab 200mg,DV Cifi O 200mg/200mg
Septen 20,Tenerute 20mg,Septen 20 M
Abitac 1%,Tacrojon,Abitate U
Dolite P 100mg/325mg,Moveran Plus,Dolito SP
Acedel-MR,Acigo P,Aceden
Painfree 100mg,Nised 50mg,Axinim
Flynorm H 50mg/12.5mg,Losatrust H,Flynorm 50mg
Doxone-S 1500,Herquelen-SB 1500mg,Doxonimar
Safexim 200,Cefwort 50 Dry,Ctax O 200mg/500mg
Ellgesic-MR,Dixcy MR,Ellgesic-SP
Impeno TZ 1000mg/125mg,Hyfipime TZ 1000mg/125mg,Impentin
Parawell 650mg,Symol 650mg,Zuka
Liliace P 100mg/325mg,Acidol P 100mg/500mg,Liliace T 100mg/4mg
Piril DX,Oritus D Syrup New Improved,Piril 20
Nayafix 100mg,Cefpan 200mg,Nayaflu IT 100mg
Linco 500mg,Linocin 300mg,Linco 600mg
Fecure Plus,Yoricold,Tuxin
Parazit 650mg,Adwin 125mg/5ml,Parazin C 10mg/1mg
Clobca-GM,Cbnate NM,Clobcure GM
Cyfalo 200mg,Nexcef 200mg,Upxime-LB
Rbtrix 1000,Ceftramax 500mg,Rbtrix S 250mg/125mg
Lysera-AP,Chymosurge,Aniryl
Jynac P 100mg/325mg,Nicoace Plus 100 mg/500 mg,Jynac 200mg
Riovom MD,Vomrean 2mg Oral,Pantapic O 40mg/4mg
Chymoflex,Fenwis-P,Valk Plus 20mg/500mg
Ronixone-S 750,SMS SB 500mg/250mg,Ronixone 500mg
Cip-Zox,Forte-MR,Cipzol 250 mg/300 mg
Acelyn-P,Alcinac P 100mg/325mg,Doloforce Plus
Femix 100mg,Laycef 100mg,Femix CV Dry
Topcef 500mg,Gramocef 1000mg,Topcef 50 DT
Emino,Ondega 4mg,Eminol 10mg
Voltase 50mg/10mg,Soccer Plus 50mg/10mg,Voltair-LC
Cefidol Dry,Xicm 100mg,LIZOKEF OD
Sacrowel Oral Suspension Anise Sugar Free,Stalfate O,Sacrolyte Plus
Dorotam P,Mefbrake P Forte 500mg/325mg,Dorotam 10mg/250mg
Neclop Plus 100mg/325mg,Bsnac-D,Neclocet 5mg
Kenceft S 1000mg/500mg,Keytrox SL 500mg/250mg,Kencef 200mg
Stelace-SP,Gesivan-P,Stelabid 5mg/1mg
AMBIFLAM K 50MG/10MG,Atsera-D,Ambiflam 400mg/500mg
Azel 40mg,Xtandi 40mg Soft,Azel 500mg
Gudglip 20mg,Tenekind 20mg,Zita-D 5
Mitigate 200mg,Theonac 200mg,Mitigate P
Wockace-SP,Shaguflam P 100mg/325mg,WOCKADINE
Curobact 1000mg,Cefsym 250mg,Curobact S 1000mg/500mg
Cufzip-D,Elcold DS,Cufzip 100mg/600mg
Lozodine,Lorpd 10mg,Snizid Plus
Xipil 50mg Dry,Jeevcef 200mg,Cefclik LB 200mg
Gesicain 2%,Xylovis Oral Topical,Gesic-Dee MR
Intemp C,Nozy-DS,Intemof
Nupime-T,Sevepime Forte,Nipzid-TZ
Unizone S 250mg/125mg,Ceftaseep 1000mg/500mg,Unizone S 1000mg/500mg
Terigesic P 100mg/325mg,Amclomed SP,Flano
Brefix 50mg Dry,Rapixim 100mg,Bolt Plus 200mg/600mg
Xglip 20mg,Tenalip 20mg,Xglip M 500mg/20mg
Ceftis 1000mg,Zidtrax 500mg,Ceftis 200mg
Seffix 50mg Dry,V Cefix 50 Dry,Seffix CV 200mg/125mg
Livicef 1000mg,Z One 250mg,Livicef S 1000mg/500mg
Cozia,Zirlon Plus,Cofsils Dry Cough
C One SB 1000 mg/500 mg,Ceftichek 250mg/125mg,Conest 200mg
Aroff EZ,Kylofen P 100mg/325mg,Aroff 200mg
Ubernac-MR,Jcep,Domac 10 mg/500 mg
Kilake Plus 100mg/325mg,Muvel,Kilake 50mg/325mg
Colcef S 250mg/125mg,Ifron-S 750mg,Colceft
Fayon 4mg,Setout 4mg,Oxirab O 4mg/20mg
Rexfen-P,Daxinac-P,Kicpain XL
Maxiflam 100mg,Nimsangp 100mg,Ikvanim S 100mg/10mg
New Zixflam,Orcinac Plus,Newzid M 80mg/500mg Soft Gelatin
Meriflox 100mg,Clicef 100mg,MERIFEX 125 MG
Nugesia-SP 50mg/10mg,M Safe 50mg/10mg,Nugesia 100mg/500mg
Topcef 25mg Oral,Cefnest O 100mg,Topcef 250mg
Hicef 25mg Oral,Eldocefix 200mg,Emifix OZ 200mg/500mg
Cefdum 500mg,Ivitax 1000mg,B Zone XP 250mg/31.25mg
X-Life 100mg,Hifixim 200mg,Sefnix 100 LB
Cutrax 1000mg,Multixone 1gm,Cutrax TZ 250mg/31.25mg
Camcef 1000mg,Intocef 500mg,Camcef T 1000mg/125mg
Zeromed-P,Aceclimb-P,Zeromol 650mg
Dicdase 50 mg/10 mg,Nacdase 50mg/10mg,Tolbang D 150mg/50mg
Spirom T 50mg/10mg,Spilactone T,Spiroflut
Zedon 4mg,Retron 4mg,Zedonac
Polydol P 100mg/325mg,Acebel-P 100mg/500mg,Seract P 500mg/10mg
Temfix 650mg,Zolron,Temfix Ace
Acerap 100mg,Movon 200mg,Aceran-Plus
Tahache-AS,Vaxace-P,Verna-P
Nacser D 50mg/10mg,Dranzen D 50mg/10mg,Nacser 10mg
Ketam,Ketorconz,Combipat Ophthalmic
S Cold Oral,Sudin Sera,S Cold
Zetox 250mg,Jefon 500mg,Zetoxi MR 60mg/4mg
Prodol 500mg,Qustain P 1000,Prodol 150 SR
Vometil 5mg,Stemled 5mg,Vometon 2mg Oral
LENAGESIC 250MG/500MG,Kolimed P DS,Tapla P 50mg/325mg
Safecare S 250mg/125mg,Marxone,Safecef CV 200mg/125mg
Orra D 50mg/10mg,Geozen D 50 mg/10 mg,Vivo Hot
Jankey 50mg,Sitawok 100,Jankey M 1000
Mklock P Oral Suspension Orange,Afesan-SP,Mklock 650
Cefiwal 200mg,Zixi 100mg,Cefiwel CV 200mg/125mg
Cilonic,Medigel,Cilon 40mg
Nacflam S 50mg/15mg,Ziclofenac S 50mg/10mg,Nacflam-SP
Uasta 250mg,Parakan 650mg,Uasta AP 100mg/325mg
Dinor,Endofree,Cestel 30
Rite-O-Cef 200,Fixrin 200mg,Rite O Cef CV 200mg/125mg
Volitroy,Voliwake,Aquashot
Tefixim 50mg,Mecef 200mg,Fixman XL 100 mg/500 mg
Triczon 250mg,SP Doxime 250mg,Triczon S 500mg/250mg
Nexlosar H 25mg/12.5mg,Losarb -H 50mg/12.5mg,Nexlosar 25mg
Nrmol P,Medac-P,Exotin P 100mg/325mg
Rapicef 200mg,Carina 50mg Dry,Kanxim LB 200mg
Venixone 1000mg,Ethmin 1gm,Venixone SB 1000mg/500mg
Sito G 50mg,Tergra 100,Sito GM 500
Ancifev 125,Ormol 1000,Inmecin P 25mg/325mg
Fenpure-SP,Cefen 3D,Fenpure 200mg
Keter 10mg,Kentdol 10 DT,Keter O
Aavik-P,Xeropain 100mg/500mg,Eprytor-Plus
Bactilem AX 200mg/60mg,Ceftas AL 200mg/60mg/40 Millioncells,Bactikill CV 200mg/125mg
Joecold D Plus,Abrotus DX Junior,Joecort 6mg
GT-Cef-SB 1.5gm,Kexone S 1000mg/500mg,GT-Cef 200mg
Ruxone 1G,Cadiceft 500mg,Elores 1.5gm
Konet 500mg,Ceftis 1000mg,Konet S 1000mg/500mg
Calipar 250mg/5ml,Xykaa 500,Infen P
Traxx E 250mg/250mg,Theolate 250mg/250mg,Traxx 500mg
Denac P 100mg/325mg,Fan P 100mg/500mg,Denac TH 100mg/4mg
Premeal MF 2,Zrepag MF 1mg/500mg,Premeth 750mcg/75mg
Fagmol M DS,Mefanu DS,Fagmox Duo Dry
Fast O,Dalicid A,Fastograf 300mcg
Fastac Toothace 10mg,Rolac,Fastac 50 mg/500 mg
Belthro-LB,Abozith 250mg,Belther 75mg
Endcef Dry,Zimnex 200mg,Emeecef-CV Dry
Allizone SB 1000mg/500mg,Trixon S 250 mg/125 mg,Allizone 250mg
Mexcef 250mg,Mexazone 1000mg,Mexcelol 25mg
CIPLACEF 1 GM,Ceftina 500mg,Ciplar 10
Glamol 250mg,Mypol 125mg Oral,Glamoxin 250mg
Alexcef 200mg,Cefixid 50mg Dry,Alexcet 10mg
Maxflam MR,Acedo Plus,Maxflo OZ 200mg/500mg
Axis 200mg,Cadifix 200mg,Axis 250mg
Glicef 250mg,Celfie 1000mg,Glicept 2.5mg/400mg
Janpra-P,Acloark-P,Janpred 4mg
Rabefit IT 20 mg/150 mg,Zidrab IT 20mg/150mg,Rabefec D 30mg/20mg
Cafex 50mg Dry,Kencef 200mg,Cafex O 200mg/200mg
Celzar 200mg,Shilgem 1000mg,Gemita 1400mg/87.5mg
Zefixone 1000mg,Ceftress 1000mg,Zefix 200mg
Etraxa SL 250mg/125mg,Rok Cef 1000mg/500mg,Sulbapod 200mg/150mg
Monocare 1gm,Eoceft 250mg,Monocare 5
Loxicard 2%,Ocu Ligno 1%,Loxica XP 8mg/325mg
Curoflam A 100mg/500mg,Lupin Acp 100mg/325mg,Curofix-SB
Kemac,Ketam,Ketomar Ophthalmic
Jencef 200mg,Cefolac Powder for,Jencef 1000mg
SP Doxime SB 500mg/250mg,Cezoprime 1000 mg/500 mg,SP Doxime 200mg
Cefexon S 1000mg/500mg,Monoscot SB 1000mg/500mg,Sulbapod 200mg/150mg
Laviceftra S 250mg/125mg,Myxone S 1000mg/500mg,Lavicloxide-H
Freenac 200mg,Painil 100mg,Freenerve G 300mg/500mcg
ANACOLD,Contus Plus,Anacold
Talxone 250mg,Kancef 1000mg,Talxone-SB 250mg/125mg
Safeflam-SR,Neonac 200mg,Safeflox OZ
Bricarex-DX,Nixkuf DX,Bricanyl 0.5mg
Gemfect 200mg,Citafine 200mg,Gemfex 180mg
Sefxim 1000mg,Semitrax 1000mg,Sefxim 100mg
Alenzer P,Nuflexilor,Zema P
Nexim 50mg,Hiyaxime 200mg,Nexim 100mg
Emeset Syrup Juicy Lemon,Vomiset 8mg,Lupisetron Plus 4 mg/500 mg
Taxim-O Dry Syrup Juicy Orange and Lemon,Topcef 25mg Oral,TAXIM 2000 MG
Silverkind Nanofine,Silcoll,Silver Shield
Dicovel-MR,Diclony-MR,Dicmak 50mg/325mg
Lysenze-D,Amidase D 50mg/10mg,Tolldy
Extcef 1000mg,Rutocef 250mg,Extcef S 1000mg/500mg
Alnac 100mg,Onace 200mg,Alnac P 100mg/325mg
Milixone 1000mg,Xonecot 500mg,Ceftpel S 1000mg/500mg
Cefajen 1gm,Snocef 250mg,Cefajen S 250mg/125mg
Renost 4mg,Ondon 2mg,Renoshell 400
Ketorocin,Ketoeye,Histpat-KT
Telbisol-GM,Clobetasen GM,Telbid AM 40mg/5mg
Realone 1000mg,Nexzone 1000mg,Morexone S 250mg/125mg
Swace P,Acedo Plus,Swace T 100mg/4mg
Asdry-S 375,Cefton S 1000mg/500mg,Asdry 500mg
Vitacef 200,Kryptofix 50mg Dry,Vitacef O Dry
Vomirav 2mg,Ondanep 4mg,Rabopep O
Ipacare TZ 250mg/31.25mg,Mepime TZ 1000mg/125mg,Ipacare 250mg
Ximenov 100,Stancef O 100mg,Vencef 200mg
Arivel 1000mg,Vancoled 500mg,Arive 15mg
Naxef 500mg,Otxone 250mg,Naxef 1.5
Rekin 250,MERIMOL,Ormol-D
Qxone S 250mg/125mg,Imunocef S 1000 mg/500 mg,Qxone TZ 1000mg/125mg
Sporogem 200mg,Symfix 50mg Dry,Sporocef 50 Dry
Macito P 100mg/325mg,Trofen P 100 mg/325 mg,Macitent 10mg
DELUPA P 100 MG/325 MG,Dol-SP,Delupa TH 200 mg/8 mg
Rabejo-IT 20mg/150mg,Refin-IT 20mg/150mg,Rabejan D 30mg/20mg
Arden 650mg,Temptal 650mg,Validay Plus 20 mg/500 mg
Alofenc P,Cyclonac-P,Alofen M 10mg/120mg
Salvacef 500mg,I-Trax 500mg,Salvadol P
Cefnil 100mg,Mxim 50mg Dry,Cefnic-AZ
Ciphone S 1000mg/500mg,XL-Zone SF 1.5,Kiviza 2000mg
Medicef 250mg,Crycef 1000mg,Medicort 6mg
M Safe 50mg/10mg,Zeodic-D,Msafe 16
Telenac P 100mg/325mg,Asirest-SP,Telencik-AM
Axocold Oral,Nozy-DS,Axocobal PG 750mcg/75mg
Fixset Dry,Cef Force 200mg,Fixset-O Dry
Mefel P,Nycmol,Paracee Plus
Svnim 100mg,Nimoril 100mg,Nam Safe 100 mg/50 mg
Daxinac,Vorto,Daxinac-SP
Vomison 2mg/5ml,Orlon 4mg,Myset Plus
Segicef,Ceefhap 1000mg,Segicort 6
Kenadol Plus 100mg/325mg,Avopact-XL,Kenadion 10mg
Aclomore P 100 mg/500 mg,Arthace Plus 100mg/500mg,Flano
Kerosite-DT,Ketogress 10mg,Kerosite MX
Inflaset 150mg,Akilos 200mg,Inflaset 100mg/325mg
Cefeva S 500mg/1000mg,DX Trox SB 500mg/250mg,Cefever 250mg
Azaxone SB 250mg/125mg,Cefscot S 500mg/250mg,Azaxone 500mg
Emix Kid 200mg/5ml Dry,Fixitrix 100mg,Fenium OZ 200mg/500mg
Rbpara A,Acevno-Plus,Rbpara 250mg
Oceclo 200mg,Steclo 200mg,Oceclo P
Spironot-F,Frutone,Spiromont-F kid
Genocid-OS,Syovax-O,Genocid Oral Suspension Mango Sugar Free
Cefcea 400mg,Cquence 200mg,Cefcell O 200mg/200mg
Linefix Dry,Raytas 200,Linefix-CV
Ric-Ceft 1.5gm,Axonit S 1000mg/500mg,Ric-Ceft
Advark 200mg,Zacrol-SR,Alcinac-PG Forte
Ulcoat O 100ml,Sucrox,Ulcoat 1000mg
Axces P 100mg/500mg,Arrestin SP,Axces TH
Acnac-SP,Seclofen-P,Codomolindon
Tenoglip 20mg,Tealife 20mg,Winoglip M 500mg/20mg
Oflict TZ 200mg/600mg,Lox TZ 200mg/600mg,Oflic 200mg
Kainixim 200mg,Xilim 100,Kainixim CV 200mg/125mg
Aedimef P 250mg/325mg,Fevel M,Aedimef A 80mg/100mg
Aqcef S 1000mg/500mg,Cefogrip 1000mg/500mg,Aqcef OZ 200mg/500mg
Rabikem IT,Rabdon-ITR,Esobrick IT 40mg/150mg
Cefrajon 500mg,Camotri 250,Cefirone V 1000 mg/500 mg
Melaret,Tmel,Melar
